20 101
1 2 15
1 3 60
1 4 666
1 6 211
1 7 17
1 8 65
1 16 12
1 17 15
1 20 77
2 1 59
2 4 88
2 11 49
3 1 3
3 2 166
3 4 36
3 5 48
3 6 778
3 7 59
4 3 9
4 6 56
4 8 222
4 9 49
4 16 148
4 17 4
4 18 1
5 7 58
5 8 91
5 10 25
5 12 100
5 17 200
5 19 211
6 4 26
6 5 27
6 7 84
7 6 89
7 8 48
7 9 647
7 10 36
7 11 69
7 16 78
7 17 896
7 18 29
7 19 44
7 20 39
8 6 99
8 7 548
9 18 73
9 19 95
10 6 1
10 9 72
10 11 90
10 16 135
11 16 456
11 17 84
11 19 73
12 4 77
12 5 56
12 6 48
12 15 200
12 16 51
12 17 53
13 16 52
13 17 63
13 18 91
13 20 92
14 9 49
14 10 999
14 11 30
14 12 57
15 1 4
15 2 66
15 3 75
15 4 34
15 5 44
15 6 665
16 3 1
16 6 64
16 7 61
16 8 30
17 1 2
17 4 1
17 5 49
17 6 23
18 5 999
18 8 21
18 11 59
18 14 64
18 17 61
19 6 185
19 7 186
19 8 781
19 9 911
19 20 69
20 1 10
20 3 15
20 7 60
20 9 80
20 11 100
20 12 111
20 13 120
20 19 180
